LotArea,OverallQual,OverallCond,YearBuilt,TotalBsmtSF,GrLivArea,GarageCars,GarageArea,SalePrice
5389,8,5,1995,1595,1616,2,608,236500
9590,7,5,2003,868,1146,2,438,187500
11404,7,5,1998,1153,2031,2,541,222500
10000,5,6,1961,864,1144,1,264,131400
8978,5,5,1968,948,948,1,300,108000
10800,7,7,1914,880,1768,2,320,163000
8544,3,4,1950,0,1040,2,400,93500
10463,8,5,2005,893,1801,3,800,239900
10800,5,5,1987,1200,1200,0,0,179000
9313,7,5,2004,864,1728,2,572,190000
9600,5,7,1910,264,1432,2,360,132000
6768,6,8,1961,912,912,1,288,142000
8450,7,5,2000,1349,1349,2,539,179000
12886,5,6,1963,520,1464,2,480,175000
5395,8,5,1993,1337,1337,2,462,180000
8963,8,9,1976,1142,2715,2,831,299800
8795,7,5,2000,952,2256,2,554,236000
11700,7,7,1880,1240,2640,4,864,265979
10593,7,5,1996,1720,1720,2,527,260400
8405,4,3,1945,0,1529,1,240,98000
8800,4,7,1910,576,1140,0,0,96500
7750,7,5,2003,660,1320,2,400,162000
9236,6,5,1997,1479,1494,2,576,217000
10240,8,5,2005,1030,2098,3,878,275500
7930,6,8,1969,1026,1026,2,440,156000
3230,6,5,1999,729,1471,2,440,172500
10769,8,5,2007,866,1768,2,578,212000
11616,6,5,1978,672,1386,2,440,158900
2280,7,5,1999,744,1501,2,440,179400
12257,8,5,1995,1318,2531,3,752,290000
9100,6,6,1959,864,864,1,300,127500
6911,5,5,1924,1145,1301,2,440,100000
8640,7,5,2009,756,1547,2,614,215200
9430,8,5,1999,1252,2365,3,856,337000
9549,8,5,1995,1494,1494,2,481,270000
14587,9,5,2008,1498,1506,2,592,264132
10421,7,5,1988,980,1714,2,496,196500
12508,6,7,1940,983,1750,1,423,160000
9100,7,5,2004,1860,1836,2,484,216837
53504,8,5,2003,1650,3279,3,841,538000
7252,5,5,1982,858,858,2,576,134900
8877,4,5,1951,836,1220,2,396,102000
7819,6,5,1976,1029,1117,2,672,107000
10150,5,5,1958,912,912,1,275,114500
14226,8,5,2006,1935,1973,3,895,395000
4500,6,5,1998,1204,1204,2,412,162000
11210,7,5,2005,1614,1614,3,865,221500
13350,5,5,1974,864,894,2,440,142500
8400,5,5,1977,0,2020,2,630,144000
10530,6,5,1977,975,1004,2,504,135000
7875,7,5,1995,1237,1253,2,402,176000
7153,6,5,1992,761,1603,2,484,175900
16285,7,5,2001,1413,1430,2,605,187100
9101,5,6,1978,1097,1110,2,602,165500
6300,6,6,1914,742,1484,0,0,128000
9790,6,5,1967,1372,1342,2,457,161500
10800,5,6,1915,686,1652,1,416,139000
10142,7,5,2004,956,2084,2,618,233000
6000,4,7,1954,901,901,1,281,107900
12205,6,8,1966,832,2087,2,444,187500
3182,7,5,2005,1145,1145,2,397,160200
11333,6,5,1976,1029,1062,2,539,146800
9920,7,5,1996,1117,2013,2,455,269790
9158,8,5,2007,1496,1496,2,474,225000
10832,7,5,1994,712,1895,2,409,194500
8400,6,6,1980,650,1564,2,476,171000
8197,6,5,1977,660,1285,2,528,143500
7677,5,5,1953,773,773,1,240,110000
13518,9,5,2008,1926,3140,3,820,485000
7200,5,7,1937,731,1768,1,240,175000
12798,6,5,1997,616,1688,2,603,200000
4800,4,7,1916,1196,1196,2,440,109900
8199,7,5,2005,728,1456,2,410,189000
13891,9,5,2008,1734,2822,3,1020,582933
9000,5,5,1954,936,1128,1,286,118000
12274,7,5,2008,1417,1428,2,554,227680
9750,5,5,1967,980,980,1,384,135500
21384,5,6,1923,1324,1576,2,528,223500
13400,5,5,1966,1024,1086,2,484,159950
8100,5,5,1898,849,2138,2,360,106000
10140,6,6,1974,1040,1309,2,484,181000
4438,6,5,2004,848,848,2,420,144500
8712,5,5,1952,540,1044,2,504,55993
9750,6,6,1958,1442,1442,1,301,157900
8248,5,7,1918,686,1250,1,280,116000
12137,7,5,1998,1649,1661,2,598,224900
11425,5,6,1954,1008,1008,1,275,137000
13265,8,5,2002,1568,1689,3,857,271000
8816,6,7,1971,1010,1052,2,440,155000
6371,7,5,2009,1358,1358,2,484,224000
7226,7,5,2003,798,1640,2,595,183000
6000,4,4,1953,936,936,2,576,93000
12394,7,5,2003,847,1733,2,433,225000
9900,6,7,1940,778,1489,1,240,139500
11216,8,5,2006,1489,1489,2,776,232600
14803,10,5,2007,2078,2084,3,1220,385000
6130,5,6,1924,784,784,0,0,109500
8529,7,5,2001,1454,1434,2,527,189000
28698,5,5,1967,1013,2126,2,538,185000
2544,7,5,2005,600,1223,2,480,147400
11900,6,5,1957,1392,1392,2,458,166000
3180,7,5,2005,600,1200,2,480,151000
9548,7,6,2003,941,1829,2,613,237000
10004,6,6,1964,1516,1516,2,472,167000
7875,5,6,1961,1144,1144,2,456,139950
9600,4,7,1950,1067,1067,2,436,128000
8100,5,6,1948,1559,1559,2,812,153500
1680,6,5,1973,483,987,1,264,100000
9525,5,6,1995,1099,1099,1,352,144000
11767,5,6,1946,768,1200,1,240,130500
12155,6,8,1925,672,1482,1,400,140000
10440,5,8,1904,650,1539,2,686,157500
9020,6,7,1966,1127,1165,2,490,174900
8000,5,4,1961,1800,1800,0,0,141000
12665,5,8,1915,876,1416,3,720,153900
16647,5,5,1975,1390,1701,2,611,171000
9317,7,5,1993,740,1775,2,425,213000
15523,5,6,1972,864,864,1,338,133500
45600,6,8,1908,907,2358,2,360,240000
9600,6,7,1976,528,1855,2,512,187000
4435,6,5,2003,848,848,2,420,131500
3196,8,5,2003,1273,1456,2,400,215000
7128,7,5,1941,918,1646,1,240,164000
12095,6,6,1964,1127,1445,2,645,158000
17920,5,4,1955,1763,1779,2,454,170000
6897,5,8,1962,1040,1040,1,260,127000
10970,6,6,1978,940,1026,2,576,147000
8125,6,5,1994,702,1481,2,343,174000
10400,7,5,1976,1090,1370,2,479,152000
11029,6,7,1968,1054,2654,2,619,250000
7642,7,8,1918,912,1426,1,216,189950
11625,5,4,1965,1039,1039,2,504,131500
9672,6,5,1984,1040,1097,2,480,152000
7931,5,5,1959,1148,1148,1,672,132500
8640,7,5,2007,1372,1372,2,529,250580
8750,5,6,1970,1002,1002,2,902,148500
