LotArea,OverallQual,OverallCond,YearBuilt,TotalBsmtSF,GrLivArea,GarageCars,GarageArea,SalePrice
9317,6,5,2006,1314,1314,2,440,176432
6882,6,7,1914,684,1355,0,0,127000
3696,8,5,1986,1074,1088,2,461,170000
6000,4,6,1936,672,1324,1,240,128000
11880,7,5,1978,1271,1601,2,478,157000
8400,2,5,1920,290,438,1,246,60000
9758,5,5,1971,950,950,1,280,119500
7000,5,7,1960,1010,1134,1,254,135000
8910,6,6,1959,655,1194,2,539,159500
2016,5,5,1970,630,1302,2,440,106000
12256,8,5,1994,1463,2622,2,712,325000
10357,7,5,1990,910,1442,2,719,179900
23257,7,5,2006,868,2021,2,422,274725
8063,6,5,2000,924,1690,2,463,181000
11362,8,5,2004,1836,1836,3,862,280000
8000,6,5,1995,773,1658,2,431,188000
10480,7,6,1976,803,1964,2,483,205000
7100,5,7,1957,816,816,1,308,129900
8923,5,7,1953,1008,1008,1,240,134500
5400,5,7,1954,833,833,1,326,117000
12085,8,5,2007,1734,1734,3,928,318000
7750,8,5,2002,408,1419,2,527,184100
9764,5,7,1967,894,894,2,450,130000
13825,5,6,1958,533,1601,1,300,140000
7560,5,5,1959,1040,1040,1,286,133700
8263,6,5,1920,1012,1012,1,308,118400
10084,7,5,2005,1552,1552,3,782,212900
8926,4,3,1956,672,960,1,288,112000
9405,5,9,1947,698,698,0,0,118000
9125,7,5,1992,384,1482,2,392,163900
10434,4,5,1955,1005,1005,2,672,115000
3684,7,5,2007,1373,1555,3,660,174000
14572,7,5,2004,1530,1530,3,630,259000
11796,7,5,2004,847,1959,2,434,215000
7200,5,5,1980,936,936,2,672,140000
7804,4,3,1928,1122,1981,2,576,135000
10712,5,5,1991,974,974,0,0,93500
9900,6,4,1880,1008,2210,1,205,117500
9828,8,5,1995,1128,2020,2,466,239500
8773,6,5,1997,916,1600,2,460,169000
6180,6,5,1926,960,986,1,180,102000
9600,6,5,1950,1032,1252,1,288,119000
6342,5,8,1875,780,1020,0,0,94000
9819,6,5,1977,1567,1567,2,714,196000
8731,5,5,1920,915,1167,2,495,144000
7350,5,7,1951,952,952,2,840,139000
10304,5,7,1976,780,1868,2,484,197500
9965,8,5,2006,1466,2828,3,1052,424870
9000,5,3,1959,1006,1006,0,0,80000
12180,4,4,1941,672,924,1,280,80000
6240,5,6,1928,1042,1576,1,225,149000
11200,6,5,1985,1298,1298,2,403,180000
12000,7,7,1941,704,1564,1,234,174500
5700,7,7,1926,572,1111,1,288,116900
9000,7,9,1920,650,1482,2,324,143000
8280,6,5,1950,932,932,1,306,124000
17755,5,4,1959,1466,1466,2,528,149900
14115,6,7,1956,1073,1811,2,470,230000
5890,6,8,1930,816,816,1,432,120500
13700,7,6,1965,864,1820,2,492,201800
10768,5,8,1976,1437,1437,2,528,218000
9350,5,8,1965,1219,1265,2,502,179900
5001,7,5,2007,1314,1314,2,626,230000
11932,8,5,2007,1580,1580,3,830,235128
9120,6,6,1974,901,1876,2,540,185000
2280,6,5,1978,855,1456,2,440,146000
14778,6,7,1954,1296,1640,2,924,224000
8724,5,5,1968,894,894,2,450,129000
12900,4,4,1969,1198,1258,2,400,108959
16157,5,7,1978,1360,1432,2,588,194000
9541,7,5,2009,1502,1502,2,644,233170
10475,8,5,2008,1694,1694,3,776,245350
10852,6,5,2000,959,1671,2,472,173000
13728,6,7,1935,1127,2108,2,540,235000
35760,10,5,1995,1930,3627,3,807,625000
9880,6,6,1977,1096,1118,1,358,171000
9120,6,6,1958,1261,1261,2,433,163000
4017,7,5,2006,625,1250,2,625,171900
18030,5,6,1946,1598,3086,0,0,200500
16560,6,8,1932,952,2345,2,360,239000
10678,8,5,1992,1683,2872,2,541,285000
6951,5,5,1984,876,923,1,264,119500
3950,6,8,1926,818,1224,1,210,115000
7681,5,6,1921,731,1343,1,186,154900
8335,5,5,1954,0,1124,0,0,93000
11170,7,5,1990,1216,2514,2,693,250000
5587,8,5,2008,1600,1652,2,482,392500
15623,10,5,1996,2396,4476,3,813,745000
10800,5,6,1920,1120,1130,2,720,120000
35133,5,4,1963,1572,1572,3,995,186700
9738,5,7,1924,784,1221,1,392,104900
10615,3,5,1900,978,1699,2,420,95000
12461,8,5,1994,1624,1624,3,757,262000
8935,7,5,2002,831,1660,2,493,195000
7500,7,5,1999,994,1804,2,442,189000
32463,4,4,1961,1249,1622,4,1356,168000
2645,8,5,1999,776,1441,2,492,174000
9600,5,8,1925,702,1472,1,250,125000
4500,6,5,1999,1224,1224,2,402,165000
9364,6,7,1969,663,1352,1,299,158000
8029,6,5,2005,728,1456,2,400,176000
14054,7,5,2006,879,1863,3,660,219210
8850,7,6,1916,815,1690,1,225,144000
9100,7,5,2001,1212,1212,2,573,178000
11235,4,5,1963,1051,1382,2,459,148000
9353,4,5,1970,864,864,1,280,116050
10400,7,5,1998,866,1779,2,546,197900
6000,5,8,1925,884,1348,1,216,117000
9750,7,5,2000,1630,1630,2,451,213000
